code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-06-22,15:06:04,HOSE,STOCK,31.5,33.7,29.3,32.5,33.7,31.4,33.7,32.56,26.64,27.624,25.739,27.624,26.689,9381300.0,305474835000.0,25000.0,842500000.0,2.2,1.8033,6.9841
DIG,2022-06-21,15:06:02,HOSE,STOCK,33.85,36.2,31.5,32.0,33.8,31.5,31.5,32.03,26.23,27.706,25.821,25.821,26.255,9522800.0,305053415000.0,0.0,0.0,-2.35,-1.9263,-6.9424
DIG,2022-06-20,15:06:02,HOSE,STOCK,36.35,38.85,33.85,36.0,37.45,33.85,33.85,34.69,29.509,30.698,27.747,27.747,28.435,9576900.0,332259635000.0,0.0,0.0,-2.5,-2.0493,-6.8776
DIG,2022-06-17,15:06:04,HOSE,STOCK,39.05,41.75,36.35,37.0,38.0,36.35,36.35,36.55,30.329,31.149,29.796,29.796,29.96,13824800.0,505302470000.0,0.0,0.0,-2.7,-2.2132,-6.9142
DIG,2022-06-16,15:06:04,HOSE,STOCK,41.95,44.85,39.05,43.0,43.95,39.05,39.05,41.8,35.247,36.026,32.009,32.009,34.263,9400600.0,392980015000.0,0.0,0.0,-2.9,-2.3771,-6.913
DIG,2022-06-15,15:06:05,HOSE,STOCK,45.1,48.25,41.95,45.1,46.45,41.95,41.95,42.6,36.968,38.075,34.386,34.386,34.919,11625500.0,495203895000.0,0.0,0.0,-3.15,-2.582,-6.9845
DIG,2022-06-14,15:06:04,HOSE,STOCK,48.4,51.7,45.05,47.0,49.5,45.1,45.1,47.4,38.526,40.575,36.968,36.968,38.854,6744800.0,319707840000.0,0.0,0.0,-3.3,-2.705,-6.8182
DIG,2022-06-13,15:06:04,HOSE,STOCK,52.0,55.6,48.4,49.9,50.9,48.4,48.4,49.16,40.903,41.723,39.673,39.673,40.296,8268800.0,406478440000.0,0.0,0.0,-3.6,-2.9509,-6.9231
DIG,2022-06-10,15:06:03,HOSE,STOCK,54.5,58.3,50.7,53.5,54.4,52.0,52.0,53.15,43.854,44.592,42.624,42.624,43.567,5341900.0,283922550000.0,60000.0,3360000000.0,-2.5,-2.0492,-4.5872
DIG,2022-06-09,15:06:02,HOSE,STOCK,55.0,58.8,51.2,55.2,56.5,54.5,54.5,55.34,45.247,46.313,44.674,44.674,45.362,3018900.0,167063060000.0,0.0,0.0,-0.5,-0.4099,-0.9091
DIG,2022-06-08,15:06:04,HOSE,STOCK,52.9,56.6,49.2,53.5,56.6,53.3,55.0,54.87,43.854,46.395,43.69,45.084,44.977,5147800.0,282458610000.0,0.0,0.0,2.1,1.7214,3.9698
DIG,2022-06-07,15:06:03,HOSE,STOCK,53.2,56.9,49.5,53.0,53.0,49.8,52.9,51.5,43.444,43.444,40.821,43.362,42.215,8167800.0,420624310000.0,60000.0,3402000000.0,-0.3,-0.2459,-0.5639
DIG,2022-06-06,15:06:03,HOSE,STOCK,57.2,61.2,53.2,57.9,57.9,53.2,53.2,55.4,47.461,47.461,43.608,43.608,45.411,6583300.0,364712830000.0,0.0,0.0,-4.0,-3.2788,-6.993
DIG,2022-06-03,15:06:05,HOSE,STOCK,55.7,59.5,51.9,55.3,58.4,54.5,57.2,55.92,45.329,47.87,44.674,46.887,45.838,6547600.0,366148340000.0,0.0,0.0,1.5,1.2296,2.693
DIG,2022-06-02,15:06:03,HOSE,STOCK,58.5,62.5,54.5,58.5,59.8,55.5,55.7,57.17,47.952,49.018,45.493,45.657,46.862,8799600.0,503059940000.0,0.0,0.0,-2.8,-2.2951,-4.7863
DIG,2022-06-01,15:06:04,HOSE,STOCK,60.4,64.6,56.2,60.0,60.5,57.5,58.5,58.89,49.182,49.592,47.133,47.952,48.272,9351600.0,550760080000.0,0.0,0.0,-1.9,-1.5574,-3.1457
DIG,2022-05-31,15:05:03,HOSE,STOCK,61.4,65.6,57.2,61.0,62.7,59.7,60.4,60.82,50.002,51.395,48.936,49.51,49.854,7891700.0,479961420000.0,0.0,0.0,-1.0,-0.8197,-1.6287
DIG,2022-05-30,15:05:03,HOSE,STOCK,60.2,64.4,56.0,61.0,62.7,60.3,61.4,61.57,50.002,51.395,49.428,50.33,50.469,4998500.0,307769830000.0,0.0,0.0,1.2,0.9836,1.9934
DIG,2022-05-27,15:05:03,HOSE,STOCK,59.0,63.1,54.9,59.0,62.0,58.5,60.2,60.18,48.362,50.821,47.952,49.346,49.33,6944200.0,417887530000.0,77200.0,4238280000.0,1.2,0.9836,2.0339
DIG,2022-05-26,15:05:04,HOSE,STOCK,60.1,64.3,55.9,60.0,61.3,58.6,59.0,59.74,49.182,50.248,48.034,48.362,48.969,5243400.0,313251910000.0,0.0,0.0,-1.1,-0.9017,-1.8303
DIG,2022-05-25,15:05:03,HOSE,STOCK,58.0,62.0,54.0,58.9,61.5,57.3,60.1,59.53,48.28,50.412,46.969,49.264,48.797,7680300.0,457218960000.0,0.0,0.0,2.1,1.7214,3.6207
DIG,2022-05-24,15:05:02,HOSE,STOCK,54.8,58.6,51.0,53.5,58.0,51.5,58.0,53.74,43.854,47.543,42.215,47.543,44.051,8674200.0,466151450000.0,0.0,0.0,3.2,2.6231,5.8394
DIG,2022-05-23,15:05:03,HOSE,STOCK,58.9,63.0,54.8,59.2,59.4,54.8,54.8,56.81,48.526,48.69,44.92,44.92,46.567,9667200.0,549165890000.0,0.0,0.0,-4.1,-3.3608,-6.961
DIG,2022-05-20,15:05:02,HOSE,STOCK,55.4,59.2,51.6,55.9,59.2,55.4,58.9,58.02,45.821,48.526,45.411,48.28,47.559,8215900.0,476701500000.0,0.0,0.0,3.5,2.8689,6.3177
DIG,2022-05-19,15:05:05,HOSE,STOCK,55.4,59.2,51.6,53.4,56.2,53.4,55.4,54.86,43.772,46.067,43.772,45.411,44.969,6854900.0,376077400000.0,0.0,0.0,0.0,0.0,0.0
DIG,2022-05-18,15:05:01,HOSE,STOCK,51.8,55.4,48.2,53.3,55.4,52.8,55.4,54.85,43.69,45.411,43.28,45.411,44.961,9176500.0,503340350000.0,0.0,0.0,3.6,2.9509,6.9498
